
Task: 1, Test Name: Validate Sort Drop Down, DOM ID: sort, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status:Pass
Task: 1, Test Name: Validate Sort Drop Down, DOM ID: sort, Browser: FIREFOX, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Sort Drop Down, DOM ID: sort, Browser: CHROME, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Sort Drop Down, DOM ID: sort, Browser: EDGE_CHROMIUM, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Sort Drop Down, DOM ID: sort, Browser: EDGE_CHROMIUM, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Sort Drop Down, DOM ID: sort, Browser: FIREFOX, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Top Product, DOM ID: DIV__topbanner__188, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Top Product, DOM ID: DIV__topbanner__188, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status:Pass
Task: 1, Test Name: Validate Top Product, DOM ID: DIV__topbanner__188, Browser: FIREFOX, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Top Product, DOM ID: DIV__topbanner__188, Browser: CHROME, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Top Product, DOM ID: DIV__topbanner__188, Browser: EDGE_CHROMIUM, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Top Product, DOM ID: DIV__topbanner__188, Browser: EDGE_CHROMIUM, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Top Product, DOM ID: DIV__topbanner__188, Browser: FIREFOX, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Training Menu, DOM ID: LI__megamenusu__30, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Training Menu, DOM ID: LI__megamenusu__30, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status:Pass
Task: 1, Test Name: Validate Training Menu, DOM ID: LI__megamenusu__30, Browser: FIREFOX, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Training Menu, DOM ID: LI__megamenusu__30, Browser: CHROME, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Training Menu, DOM ID: LI__megamenusu__30, Browser: EDGE_CHROMIUM, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Training Menu, DOM ID: LI__megamenusu__30, Browser: EDGE_CHROMIUM, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Training Menu, DOM ID: LI__megamenusu__30, Browser: FIREFOX, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Wish List, DOM ID: A__wishlist__52, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Wish List, DOM ID: A__wishlist__52, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status:Fail
Task: 1, Test Name: Validate Wish List, DOM ID: A__wishlist__52, Browser: FIREFOX, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Wish List, DOM ID: A__wishlist__52, Browser: CHROME, Viewport: 768X700, Device: LAPTOP, Status:Fail
Task: 1, Test Name: Validate Wish List, DOM ID: A__wishlist__52, Browser: EDGE_CHROMIUM, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Wish List, DOM ID: A__wishlist__52, Browser: EDGE_CHROMIUM, Viewport: 768X700, Device: LAPTOP, Status:Fail
Task: 1, Test Name: Validate Wish List, DOM ID: A__wishlist__52, Browser: FIREFOX, Viewport: 768X700, Device: LAPTOP, Status:Fail
Task: 1, Test Name: Validate Women Menu, DOM ID: LI__megamenusu__26, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Women Menu, DOM ID: LI__megamenusu__26, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status:Pass
Task: 1, Test Name: Validate Women Menu, DOM ID: LI__megamenusu__26, Browser: FIREFOX, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Women Menu, DOM ID: LI__megamenusu__26, Browser: CHROME, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Women Menu, DOM ID: LI__megamenusu__26, Browser: EDGE_CHROMIUM, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Women Menu, DOM ID: LI__megamenusu__26, Browser: EDGE_CHROMIUM, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Women Menu, DOM ID: LI__megamenusu__26, Browser: FIREFOX, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate search button for Mobile, DOM ID: A__btnsearchm__59, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate search button for Mobile, DOM ID: A__btnsearchm__59, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status:Fail
Task: 1, Test Name: Validate search button for Mobile, DOM ID: A__btnsearchm__59, Browser: FIREFOX, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate search button for Mobile, DOM ID: A__btnsearchm__59, Browser: CHROME, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate search button for Mobile, DOM ID: A__btnsearchm__59, Browser: EDGE_CHROMIUM, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate search button for Mobile, DOM ID: A__btnsearchm__59, Browser: EDGE_CHROMIUM, Viewport: 768X700, Device: LAPTOP, Status:Pass
